Family-model,Version,Filename,EventType,Core Type,Native Model ID,Core Role Name
GenuineIntel-6-2E,V3,/NHM-EX/events/NehalemEX_core.json,core,,,
GenuineIntel-6-1E,V3,/NHM-EP/events/NehalemEP_core.json,core,,,
GenuineIntel-6-1F,V3,/NHM-EP/events/NehalemEP_core.json,core,,,
GenuineIntel-6-1A,V3,/NHM-EP/events/NehalemEP_core.json,core,,,
GenuineIntel-6-2F,V3,/WSM-EX/events/WestmereEX_core.json,core,,,
GenuineIntel-6-25,V3,/WSM-EP-SP/events/WestmereEP-SP_core.json,core,,,
GenuineIntel-6-2C,V3,/WSM-EP-DP/events/WestmereEP-DP_core.json,core,,,
GenuineIntel-6-37,V14,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-37,V14,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-4A,V14,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-4A,V14,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-4D,V14,/SLM/events/Silvermont_core.json,core,,
GenuineIntel-6-4D,V14,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-4C,V14,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-4C,V14,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-5A,V14,/SLM/events/Silvermont_core.json,core,,,
GenuineIntel-6-5A,V14,/SLM/events/Silvermont_matrix.json,offcore,,,
GenuineIntel-6-5C,V13,/GLM/events/goldmont_core.json,core,,,
GenuineIntel-6-5C,V13,/GLM/events/goldmont_matrix.json,offcore,,,
GenuineIntel-6-5F,V13,/GLM/events/goldmont_core.json,core,,,
GenuineIntel-6-5F,V13,/GLM/events/goldmont_matrix.json,offcore,,,
GenuineIntel-6-1C,V4,/BNL/events/Bonnell_core.json,core,,,
GenuineIntel-6-26,V4,/BNL/events/Bonnell_core.json,core,,,
GenuineIntel-6-27,V4,/BNL/events/Bonnell_core.json,core,,,
GenuineIntel-6-36,V4,/BNL/events/Bonnell_core.json,core,,,
GenuineIntel-6-35,V4,/BNL/events/Bonnell_core.json,core,,,
GenuineIntel-6-2A,V17,/SNB/events/sandybridge_core.json,core,,,
GenuineIntel-6-2A,V17,/SNB/events/sandybridge_matrix.json,offcore,,,
GenuineIntel-6-2A,V17,/SNB/events/sandybridge_uncore.json,uncore,,,
GenuineIntel-6-2D,V21,/JKT/events/Jaketown_core.json,core,,,
GenuineIntel-6-2D,V21,/JKT/events/Jaketown_matrix.json,offcore,,,
GenuineIntel-6-2D,V21,/JKT/events/Jaketown_uncore.json,uncore,,,
GenuineIntel-6-3A,V23,/IVB/events/ivybridge_core.json,core,,,
GenuineIntel-6-3A,V23,/IVB/events/ivybridge_matrix.json,offcore,,,
GenuineIntel-6-3A,V23,/IVB/events/ivybridge_uncore.json,uncore,,,
GenuineIntel-6-3E,V22,/IVT/events/ivytown_core.json,core,,,
GenuineIntel-6-3E,V22,/IVT/events/ivytown_matrix.json,offcore,,,
GenuineIntel-6-3E,V22,/IVT/events/ivytown_uncore.json,uncore,,,
GenuineIntel-6-3C,V32,/HSW/events/haswell_core.json,core,,,
GenuineIntel-6-45,V32,/HSW/events/haswell_core.json,core,,,
GenuineIntel-6-46,V32,/HSW/events/haswell_core.json,core,,,
GenuineIntel-6-3C,V32,/HSW/events/haswell_matrix.json,offcore,,,
GenuineIntel-6-45,V32,/HSW/events/haswell_matrix.json,offcore,,,
GenuineIntel-6-46,V32,/HSW/events/haswell_matrix.json,offcore,,,
GenuineIntel-6-3C,V32,/HSW/events/haswell_uncore.json,uncore,,,
GenuineIntel-6-45,V32,/HSW/events/haswell_uncore.json,uncore,,,
GenuineIntel-6-46,V32,/HSW/events/haswell_uncore.json,uncore,,,
GenuineIntel-6-3F,V26,/HSX/events/haswellx_core.json,core,,,
GenuineIntel-6-3F,V26,/HSX/events/haswellx_matrix.json,offcore,,,
GenuineIntel-6-3F,V26,/HSX/events/haswellx_uncore.json,uncore,,,
GenuineIntel-6-3D,V26,/BDW/events/broadwell_core.json,core,,,
